"CO_ENTIDADE","NO_ENTIDADE","CO_UF","CO_MUNICIPIO","TP_LOCALIZACAO","QT_PROF","ID"
11000899,"EMEF DR JOAO FERNANDES",11,1100205,"Rural",NA,"EMEF DR JOAO FERNANDES (11000899)"
11000945,"EMEF DR RENATO MEDEIROS",11,1100205,"Rural",NA,"EMEF DR RENATO MEDEIROS (11000945)"
11000996,"EMEI NOVA REPUBLICA",11,1100205,"Urbana",16,"EMEI NOVA REPUBLICA (11000996)"
11001003,"EMEF ENGº WADIH DARWICH ZACARIAS",11,1100205,"Urbana",21,"EMEF ENGº WADIH DARWICH ZACARIAS (11001003)"
11001011,"EMEF ERMELINDO MONTEIRO BRASIL",11,1100205,"Rural",31,"EMEF ERMELINDO MONTEIRO BRASIL (11001011)"
11001038,"EMEF ESTELA DE ARAUJO COMPASSO",11,1100205,"Urbana",21,"EMEF ESTELA DE ARAUJO COMPASSO (11001038)"
11001070,"EMEF FRANCISCO BRAGA",11,1100205,"Rural",3,"EMEF FRANCISCO BRAGA (11001070)"
11001100,"EMEF GEDOCY RUAS WOLFF",11,1100205,"Rural",NA,"EMEF GEDOCY RUAS WOLFF (11001100)"
11001151,"EMEF HEITOR VILLA LOBOS",11,1100205,"Rural",2,"EMEF HEITOR VILLA LOBOS (11001151)"
11001186,"EMEF HENRIQUE DIAS",11,1100205,"Rural",38,"EMEF HENRIQUE DIAS (11001186)"
11001208,"EMEF IOLANDA LIMA",11,1100205,"Rural",NA,"EMEF IOLANDA LIMA (11001208)"
11001216,"EMEF IRMA HELENA FALCAO",11,1100205,"Rural",NA,"EMEF IRMA HELENA FALCAO (11001216)"
11001224,"EMEF ERIALDO GOMES DO CARMO",11,1100205,"Rural",1,"EMEF ERIALDO GOMES DO CARMO (11001224)"
11001267,"EMEIEF JOAO AFRO VIEIRA",11,1100205,"Rural",19,"EMEIEF JOAO AFRO VIEIRA (11001267)"
11001275,"EMEF JOAQUIM VICENTE RONDON",11,1100205,"Urbana",65,"EMEF JOAQUIM VICENTE RONDON (11001275)"
11001313,"EMEIEF JOSE AUGUSTO DA SILVA",11,1100205,"Rural",20,"EMEIEF JOSE AUGUSTO DA SILVA (11001313)"
11001348,"EMEF JOSE FERREIRA",11,1100205,"Rural",NA,"EMEF JOSE FERREIRA (11001348)"
11001399,"EMEF LEOCADIO PARDO",11,1100205,"Rural",NA,"EMEF LEOCADIO PARDO (11001399)"
11001445,"EMEF PROFESSOR MANOEL GRANGEIRO",11,1100205,"Rural",9,"EMEF PROFESSOR MANOEL GRANGEIRO (11001445)"
11001461,"EMEF MANOEL PEDRO PEREIRA",11,1100205,"Rural",6,"EMEF MANOEL PEDRO PEREIRA (11001461)"
11001500,"EMEF MARIA A QUEIROZ DE OLIVEIRA",11,1100205,"Rural",3,"EMEF MARIA A QUEIROZ DE OLIVEIRA (11001500)"
11001534,"EMEF MARIA DA CRUZ MACENA",11,1100205,"Rural",NA,"EMEF MARIA DA CRUZ MACENA (11001534)"
11001607,"EMEF MORVAN FREIRE BRASIL",11,1100205,"Rural",1,"EMEF MORVAN FREIRE BRASIL (11001607)"
11001615,"EMEF JOSE BEDONI",11,1100205,"Rural",NA,"EMEF JOSE BEDONI (11001615)"
11001623,"EMEF JOSE DE ANCHIETA",11,1100205,"Rural",NA,"EMEF JOSE DE ANCHIETA (11001623)"
11001658,"EMEIEF NACIONAL",11,1100205,"Urbana",21,"EMEIEF NACIONAL (11001658)"
11001666,"EMEF NACOES UNIDAS",11,1100205,"Urbana",10,"EMEF NACOES UNIDAS (11001666)"
11001798,"EMEF PADRE JOSE DE ANCHIETA",11,1100205,"Rural",0,"EMEF PADRE JOSE DE ANCHIETA (11001798)"
11001828,"EMEF PADRE CHIQUINHO",11,1100205,"Urbana",3,"EMEF PADRE CHIQUINHO (11001828)"
11001895,"EMEF PRESIDENTE MEDICI",11,1100205,"Rural",NA,"EMEF PRESIDENTE MEDICI (11001895)"
11001917,"EMEF PROF ANTONIO DOS SANTOS",11,1100205,"Rural",NA,"EMEF PROF ANTONIO DOS SANTOS (11001917)"
11001968,"EMEIEF MARIA IZAURA DA COSTA CRUZ",11,1100205,"Urbana",33,"EMEIEF MARIA IZAURA DA COSTA CRUZ (11001968)"
11002026,"EMEF PROF ALZIRA FALCAO",11,1100205,"Rural",NA,"EMEF PROF ALZIRA FALCAO (11002026)"
11002042,"EMEF PROF MARIA ANGELICA QUEIROZ DE OLIVEIRA",11,1100205,"Rural",6,"EMEF PROF MARIA ANGELICA QUEIROZ DE OLIVEIRA (11002042)"
11002085,"E M E F RIO GUAPORE",11,1100205,"Urbana",20,"E M E F RIO GUAPORE (11002085)"
11002093,"EMEIEF RIO MADEIRA",11,1100205,"Urbana",23,"EMEIEF RIO MADEIRA (11002093)"
11002158,"EMEF SAO FRANCISCO DE ASSIS",11,1100205,"Urbana",11,"EMEF SAO FRANCISCO DE ASSIS (11002158)"
11002182,"EMEF SANTO ANTONIO I",11,1100205,"Rural",9,"EMEF SANTO ANTONIO I (11002182)"
11002204,"EMEF SAO CARLOS",11,1100205,"Rural",1,"EMEF SAO CARLOS (11002204)"
11002263,"EMEF SAO LUIZ GONZAGA",11,1100205,"Rural",3,"EMEF SAO LUIZ GONZAGA (11002263)"
11002280,"EMEF SAO PEDRO",11,1100205,"Urbana",24,"EMEF SAO PEDRO (11002280)"
11002310,"EMEF PROFESSOR ANTONIO AUGUSTO REBELO DAS CHAGAS",11,1100205,"Urbana",11,"EMEF PROFESSOR ANTONIO AUGUSTO REBELO DAS CHAGAS (11002310)"
11002409,"EMEF UNIAO",11,1100205,"Rural",10,"EMEF UNIAO (11002409)"
11002425,"EMEF VALE DO JAMARI",11,1100205,"Rural",5,"EMEF VALE DO JAMARI (11002425)"
11002433,"EMEF VIDAL DE NEGREIROS",11,1100205,"Rural",NA,"EMEF VIDAL DE NEGREIROS (11002433)"
11002450,"EMEF VISCONDE DE MAUA",11,1100205,"Rural",NA,"EMEF VISCONDE DE MAUA (11002450)"
11002719,"EMEI - PEQUENO MESTRE",11,1100205,"Urbana",17,"EMEI - PEQUENO MESTRE (11002719)"
11002778,"EMEIEF DR TANCREDO DE ALMEIDA NEVES",11,1100205,"Urbana",25,"EMEIEF DR TANCREDO DE ALMEIDA NEVES (11002778)"
11002883,"EMEIEF PINGO DE GENTE",11,1100205,"Urbana",58,"EMEIEF PINGO DE GENTE (11002883)"
11002956,"E M E F SENADOR OLAVO GOMES PIRES",11,1100205,"Urbana",21,"E M E F SENADOR OLAVO GOMES PIRES (11002956)"
11002999,"EMEF SAUL BENNESBY",11,1100205,"Urbana",22,"EMEF SAUL BENNESBY (11002999)"
11003006,"EMEIF ESTRELA DO AMANHA",11,1100205,"Urbana",16,"EMEIF ESTRELA DO AMANHA (11003006)"
11003138,"IME ENGENHEIRO FRANCISCO ERSE",11,1100205,"Urbana",20,"IME ENGENHEIRO FRANCISCO ERSE (11003138)"
11003308,"EMEIEF MARECHAL RONDON",11,1100205,"Rural",10,"EMEIEF MARECHAL RONDON (11003308)"
11003324,"EMEF SANTA JULIA",11,1100205,"Rural",11,"EMEF SANTA JULIA (11003324)"
11003359,"EMEF MANOEL CAROLINO TENORIO",11,1100205,"Rural",NA,"EMEF MANOEL CAROLINO TENORIO (11003359)"
11003367,"EMEF CASTRO ALVES",11,1100205,"Rural",3,"EMEF CASTRO ALVES (11003367)"
11003383,"EMEIEF DRA ANA ADELAIDE GRANGEIRO",11,1100205,"Rural",36,"EMEIEF DRA ANA ADELAIDE GRANGEIRO (11003383)"
11003391,"EMEF MANOEL MACIEL NUNES",11,1100205,"Rural",4,"EMEF MANOEL MACIEL NUNES (11003391)"
11003456,"EMEF JAIME DE ALENCAR",11,1100205,"Rural",NA,"EMEF JAIME DE ALENCAR (11003456)"
11003464,"EMEF JOAO DE BARROS GOUVEIA",11,1100205,"Rural",6,"EMEF JOAO DE BARROS GOUVEIA (11003464)"
11003472,"EMEF JOAQUIM GONCALVES DE BARROS",11,1100205,"Rural",NA,"EMEF JOAQUIM GONCALVES DE BARROS (11003472)"
11003480,"EMEF JOSE FELICIO DA COSTA",11,1100205,"Rural",NA,"EMEF JOSE FELICIO DA COSTA (11003480)"
11003499,"EMEF JOSIAS FERREIRA DO NASCIMENTO",11,1100205,"Rural",NA,"EMEF JOSIAS FERREIRA DO NASCIMENTO (11003499)"
11003529,"EMEF MONTE HOREB",11,1100205,"Rural",2,"EMEF MONTE HOREB (11003529)"
11003537,"EMEF NOSSA SRA APARECIDA",11,1100205,"Rural",NA,"EMEF NOSSA SRA APARECIDA (11003537)"
11003561,"EMEF PE FRANCISCO JOSE PUCCI",11,1100205,"Rural",1,"EMEF PE FRANCISCO JOSE PUCCI (11003561)"
11003669,"EMEF VALDECI TEIXEIRA LIMA",11,1100205,"Rural",NA,"EMEF VALDECI TEIXEIRA LIMA (11003669)"
11003677,"EMEF 04 DE AGOSTO",11,1100205,"Rural",NA,"EMEF 04 DE AGOSTO (11003677)"
11003693,"EMEF CORA CORALINA",11,1100205,"Rural",25,"EMEF CORA CORALINA (11003693)"
11003774,"EMEF OLYMPIA SALVATORE RIBEIRO",11,1100205,"Rural",5,"EMEF OLYMPIA SALVATORE RIBEIRO (11003774)"
11037482,"EMEIEF SAO MIGUEL",11,1100205,"Urbana",33,"EMEIEF SAO MIGUEL (11037482)"
11037512,"EMEIEF CHAPEUZINHO VERMELHO",11,1100205,"Urbana",8,"EMEIEF CHAPEUZINHO VERMELHO (11037512)"
11037539,"EMEIEF PROGRESSO",11,1100205,"Rural",7,"EMEIEF PROGRESSO (11037539)"
11037580,"EMEF JOSE RODRIGUES",11,1100205,"Rural",1,"EMEF JOSE RODRIGUES (11037580)"
11037598,"EMEF SANTA CLARA DE ASSIS",11,1100205,"Urbana",4,"EMEF SANTA CLARA DE ASSIS (11037598)"
11037636,"EMEF PROF PEDRO TAVARES BATALHA",11,1100205,"Urbana",20,"EMEF PROF PEDRO TAVARES BATALHA (11037636)"
11037644,"EMEF RAIMUNDO AGOSTINHO DA SILVA",11,1100205,"Urbana",24,"EMEF RAIMUNDO AGOSTINHO DA SILVA (11037644)"
11037652,"EMEF NOSSA SENHORA DE NAZARE",11,1100205,"Rural",16,"EMEF NOSSA SENHORA DE NAZARE (11037652)"
11037725,"EMEF TANCREDO NEVES",11,1100205,"Rural",NA,"EMEF TANCREDO NEVES (11037725)"
11037733,"EMEI MEU PEQUENO JONES",11,1100205,"Urbana",32,"EMEI MEU PEQUENO JONES (11037733)"
11037814,"EMEF AMAZONAS",11,1100205,"Rural",NA,"EMEF AMAZONAS (11037814)"
11037865,"EMEIF ULISSES SOARES FERREIRA",11,1100205,"Urbana",25,"EMEIF ULISSES SOARES FERREIRA (11037865)"
11037881,"EMEIEF JOAQUIM VICENTE RONDON",11,1100205,"Rural",20,"EMEIEF JOAQUIM VICENTE RONDON (11037881)"
11038039,"EMEF UNIAO DA VITORIA",11,1100205,"Rural",1,"EMEF UNIAO DA VITORIA (11038039)"
11040440,"EMEF VISTA ALEGRE",11,1100205,"Rural",13,"EMEF VISTA ALEGRE (11040440)"
11040475,"EMEF MENINO JESUS",11,1100205,"Rural",NA,"EMEF MENINO JESUS (11040475)"
11040483,"EMEF BOA ESPERANCA",11,1100205,"Rural",6,"EMEF BOA ESPERANCA (11040483)"
11040491,"EMEF VITORIA REGIA",11,1100205,"Rural",NA,"EMEF VITORIA REGIA (11040491)"
11040505,"EMEF NOSSA SENHORA APARECIDA",11,1100205,"Rural",0,"EMEF NOSSA SENHORA APARECIDA (11040505)"
11040548,"EMEF RIO VERDE",11,1100205,"Rural",4,"EMEF RIO VERDE (11040548)"
11040556,"EMEIEF PROF MARIA JACIRA FEITOSA DE CARVALHO",11,1100205,"Rural",30,"EMEIEF PROF MARIA JACIRA FEITOSA DE CARVALHO (11040556)"
11040580,"EMEF COM FE EM DEUS",11,1100205,"Rural",NA,"EMEF COM FE EM DEUS (11040580)"
11040610,"EMEF NOVO ORIENTE",11,1100205,"Rural",NA,"EMEF NOVO ORIENTE (11040610)"
11040920,"EMEIEF SENADOR DARCY RIBEIRO",11,1100205,"Urbana",47,"EMEIEF SENADOR DARCY RIBEIRO (11040920)"
11041048,"EMEIEF AREAL DA FLORESTA",11,1100205,"Urbana",15,"EMEIEF AREAL DA FLORESTA (11041048)"
11041056,"EMEI MORANGUINHO",11,1100205,"Urbana",18,"EMEI MORANGUINHO (11041056)"
11041064,"EMEIEF ALEGRIA",11,1100205,"Urbana",21,"EMEIEF ALEGRIA (11041064)"
11041765,"EMEF NOVA ESPERANCA",11,1100205,"Rural",NA,"EMEF NOVA ESPERANCA (11041765)"
11043881,"EMEF PAU BRASIL",11,1100205,"Rural",NA,"EMEF PAU BRASIL (11043881)"
11043938,"EMEIEF SANTA MARGARIDA",11,1100205,"Urbana",12,"EMEIEF SANTA MARGARIDA (11043938)"
11043989,"EMEIEF JESUS DE NAZARE",11,1100205,"Urbana",34,"EMEIEF JESUS DE NAZARE (11043989)"
11043997,"EMEF RIO PARDO",11,1100205,"Rural",15,"EMEF RIO PARDO (11043997)"
11044004,"EMEI MOISES FERREIRA NETO",11,1100205,"Urbana",12,"EMEI MOISES FERREIRA NETO (11044004)"
11044012,"EMEI CANTO DO UIRAPURU",11,1100205,"Urbana",20,"EMEI CANTO DO UIRAPURU (11044012)"
11045167,"EMEF MANOEL APARICIO NUNES ALMEIDA",11,1100205,"Urbana",3,"EMEF MANOEL APARICIO NUNES ALMEIDA (11045167)"
11045175,"EMEF JOAO RIBEIRO SOARES",11,1100205,"Urbana",15,"EMEF JOAO RIBEIRO SOARES (11045175)"
11045809,"EMEF FRANCISCO JOSE CHIQUILITO COIMBRA ERSE",11,1100205,"Rural",13,"EMEF FRANCISCO JOSE CHIQUILITO COIMBRA ERSE (11045809)"
11045825,"EMEF JOSE DE FREITAS",11,1100205,"Rural",13,"EMEF JOSE DE FREITAS (11045825)"
11045868,"EMEF JERUSALEM DA AMAZONIA",11,1100205,"Rural",12,"EMEF JERUSALEM DA AMAZONIA (11045868)"
11045884,"EMEF ERNANDES COUTINHO",11,1100205,"Rural",3,"EMEF ERNANDES COUTINHO (11045884)"
11045892,"EMEIEF 03 DE DEZEMBRO",11,1100205,"Rural",28,"EMEIEF 03 DE DEZEMBRO (11045892)"
11046589,"EMEF BEM AVENTURANCA",11,1100205,"Rural",NA,"EMEF BEM AVENTURANCA (11046589)"
11046651,"EMEF RIACHO AZUL",11,1100205,"Rural",10,"EMEF RIACHO AZUL (11046651)"
11046660,"EMEF FLOR DO CUPUACU",11,1100205,"Rural",9,"EMEF FLOR DO CUPUACU (11046660)"
11047178,"EMEIEF VOVO HELENA",11,1100205,"Urbana",9,"EMEIEF VOVO HELENA (11047178)"
11047682,"EMEIEF GUADALUPE",11,1100205,"Urbana",25,"EMEIEF GUADALUPE (11047682)"
11047690,"EMEF FRANCISCO SALES DE OLIVEIRA",11,1100205,"Rural",4,"EMEF FRANCISCO SALES DE OLIVEIRA (11047690)"
11047739,"EMEIEF AUTA DE SOUZA",11,1100205,"Urbana",12,"EMEIEF AUTA DE SOUZA (11047739)"
11047780,"EMEIEF MARIA CASAROTO ABATI",11,1100205,"Urbana",24,"EMEIEF MARIA CASAROTO ABATI (11047780)"
11047836,"EMEF FLOR DO AMAZONAS",11,1100205,"Rural",NA,"EMEF FLOR DO AMAZONAS (11047836)"
11047895,"EMEIEF JORNALISTA FERNANDO ESCARIZ",11,1100205,"Urbana",6,"EMEIEF JORNALISTA FERNANDO ESCARIZ (11047895)"
11047909,"EMEIEF ESPERANCA",11,1100205,"Urbana",10,"EMEIEF ESPERANCA (11047909)"
11047925,"EMEIEF 12 DE OUTUBRO",11,1100205,"Urbana",11,"EMEIEF 12 DE OUTUBRO (11047925)"
11047933,"EMEIEF PEQUENO POLEGAR",11,1100205,"Urbana",8,"EMEIEF PEQUENO POLEGAR (11047933)"
11048280,"EMEIEF FLAMBOYANT",11,1100205,"Urbana",31,"EMEIEF FLAMBOYANT (11048280)"
11048298,"EMEIEF PADRE GEOVANI MENDES",11,1100205,"Urbana",13,"EMEIEF PADRE GEOVANI MENDES (11048298)"
11048301,"EMEIEF CASTANHEIRA",11,1100205,"Urbana",28,"EMEIEF CASTANHEIRA (11048301)"
11048310,"EMEIEF FLOR DO PIQUIA",11,1100205,"Urbana",57,"EMEIEF FLOR DO PIQUIA (11048310)"
11048328,"EMEIEF TUCUMA",11,1100205,"Urbana",12,"EMEIEF TUCUMA (11048328)"
11048336,"EMEF RENATA AMANDA",11,1100205,"Rural",NA,"EMEF RENATA AMANDA (11048336)"
11048484,"EMEIEF BROTO DO ACAI",11,1100205,"Urbana",12,"EMEIEF BROTO DO ACAI (11048484)"
11048492,"EMEIEF COR DE JAMBO",11,1100205,"Urbana",13,"EMEIEF COR DE JAMBO (11048492)"
11048506,"EMEIEF FRANCISCO ELENILSON NEGREIROS",11,1100205,"Urbana",23,"EMEIEF FRANCISCO ELENILSON NEGREIROS (11048506)"
11048514,"EMEIEF ENCANTO DO IPE",11,1100205,"Urbana",14,"EMEIEF ENCANTO DO IPE (11048514)"
11048522,"EMEI SEMENTES DO ARACA",11,1100205,"Urbana",13,"EMEI SEMENTES DO ARACA (11048522)"
11048530,"EMEIEF VOO DA JURITI",11,1100205,"Urbana",24,"EMEIEF VOO DA JURITI (11048530)"
11048549,"EMEIEF KHRYS DAMARIS",11,1100205,"Urbana",19,"EMEIEF KHRYS DAMARIS (11048549)"
11048875,"EMEIEF FLOR DE LARANJEIRA",11,1100205,"Urbana",20,"EMEIEF FLOR DE LARANJEIRA (11048875)"
11048883,"EMEIEF NOSSA SENHORA DO AMPARO",11,1100205,"Urbana",20,"EMEIEF NOSSA SENHORA DO AMPARO (11048883)"
11049120,"EMEIEF LAR DA CRIANCA",11,1100205,"Urbana",6,"EMEIEF LAR DA CRIANCA (11049120)"
11049146,"EMEIEF MIGUEL FERREIRA",11,1100205,"Urbana",11,"EMEIEF MIGUEL FERREIRA (11049146)"
11049154,"EMEI ABC DE JACI",11,1100205,"Rural",18,"EMEI ABC DE JACI (11049154)"
11049162,"EMEF PROFESSORA JOELMA RODRIGUES DOS SANTOS",11,1100205,"Urbana",8,"EMEF PROFESSORA JOELMA RODRIGUES DOS SANTOS (11049162)"
11049170,"EMEF ELY BEZERRA DE SALLES",11,1100205,"Urbana",11,"EMEF ELY BEZERRA DE SALLES (11049170)"
11049189,"EMEI ENCANTOS DE MUTUM",11,1100205,"Rural",9,"EMEI ENCANTOS DE MUTUM (11049189)"
11049332,"EMEIEF BILINGUE PORTO VELHO",11,1100205,"Urbana",7,"EMEIEF BILINGUE PORTO VELHO (11049332)"
11049570,"EMEI COSME E DAMIAO",11,1100205,"Urbana",10,"EMEI COSME E DAMIAO (11049570)"
11049588,"EMEI EDUARDO VALVERDE ARAUJO ALVES",11,1100205,"Urbana",14,"EMEI EDUARDO VALVERDE ARAUJO ALVES (11049588)"
11049596,"EMEI MAE MARGARIDA",11,1100205,"Urbana",14,"EMEI MAE MARGARIDA (11049596)"
11049618,"EMEI SAO LUIZ GONZAGA",11,1100205,"Urbana",8,"EMEI SAO LUIZ GONZAGA (11049618)"
11049740,"EMEI MAE MARGARIDA",11,1100205,"Urbana",NA,"EMEI MAE MARGARIDA (11049740)"
11050039,"EMEI ENGº WALMER ADAO DENNY SIQUEIRA",11,1100205,"Urbana",17,"EMEI ENGº WALMER ADAO DENNY SIQUEIRA (11050039)"
11050179,"EMEI PROFESSORA RONILZA CORDEIRO AFONSO DIAS",11,1100205,"Urbana",13,"EMEI PROFESSORA RONILZA CORDEIRO AFONSO DIAS (11050179)"
11050470,"EMEI PROFESSOR FRANCISCO MARTO DE AZEVEDO",11,1100205,"Urbana",12,"EMEI PROFESSOR FRANCISCO MARTO DE AZEVEDO (11050470)"
11050551,"EMEI PADRE ZENILDO GOMES DA SILVA",11,1100205,"Urbana",11,"EMEI PADRE ZENILDO GOMES DA SILVA (11050551)"
11050691,"EMEI PROFESSORA LAUDICEIA MARIA LISBOA MONTEIRO",11,1100205,"Urbana",21,"EMEI PROFESSORA LAUDICEIA MARIA LISBOA MONTEIRO (11050691)"
11050721,"EMEI JUDITH HOLDER",11,1100205,"Urbana",11,"EMEI JUDITH HOLDER (11050721)"
11050748,"EMEF MARIA FRANCISCA DE JESUS GONCALVES",11,1100205,"Urbana",17,"EMEF MARIA FRANCISCA DE JESUS GONCALVES (11050748)"
11116811,"EMEF TAQUARA",11,1100205,"Rural",NA,"EMEF TAQUARA (11116811)"
11117800,"EMEIEF SOM DA CRAVIOLA",11,1100205,"Urbana",13,"EMEIEF SOM DA CRAVIOLA (11117800)"
11117818,"EMEF 15 DE NOVEMBRO",11,1100205,"Rural",NA,"EMEF 15 DE NOVEMBRO (11117818)"
11117826,"EMEIEF TARUMA",11,1100205,"Urbana",16,"EMEIEF TARUMA (11117826)"
11117834,"EMEF ENGENHO DO MADEIRA",11,1100205,"Rural",0,"EMEF ENGENHO DO MADEIRA (11117834)"
11118814,"EMEIEF PE DE MURICI",11,1100205,"Urbana",21,"EMEIEF PE DE MURICI (11118814)"
11120819,"EMEIEF BELEZAS DO BURITI",11,1100205,"Urbana",19,"EMEIEF BELEZAS DO BURITI (11120819)"
15098397,"E M E F MARIA DE JESUS ALVES SOARES",15,1504208,"Urbana",10,"E M E F MARIA DE JESUS ALVES SOARES (15098397)"
15098605,"NUCLEO DE EDUCACAO INFANTIL SILOE",15,1504208,"Urbana",NA,"NUCLEO DE EDUCACAO INFANTIL SILOE (15098605)"
15098613,"NUCLEO DE EDUCACAO INFANTIL GABRIEL SALES PIMENTA",15,1504208,"Urbana",5,"NUCLEO DE EDUCACAO INFANTIL GABRIEL SALES PIMENTA (15098613)"
15098630,"NEI LIBERDADE",15,1504208,"Urbana",9,"NEI LIBERDADE (15098630)"
15098648,"NUCLEO DE EDUCACAO INFANTIL MARIA DA CONCEICAO SILVA PEREIRA",15,1504208,"Urbana",14,"NUCLEO DE EDUCACAO INFANTIL MARIA DA CONCEICAO SILVA PEREIRA (15098648)"
15104230,"NEI HENRIQUE CAMPOS SANTOS NASCIMENTO",15,1504208,"Urbana",12,"NEI HENRIQUE CAMPOS SANTOS NASCIMENTO (15104230)"
15104257,"EMEF CRISTO REI",15,1504208,"Urbana",16,"EMEF CRISTO REI (15104257)"
15125556,"E M E F ARCO IRIS II",15,1504208,"Rural",7,"E M E F ARCO IRIS II (15125556)"
15127168,"EMEF PROFESSORA ANA CREUSA DA SILVA BIZERRA",15,1504208,"Urbana",14,"EMEF PROFESSORA ANA CREUSA DA SILVA BIZERRA (15127168)"
15127176,"N E I AUGUSTO BASTOS MORBACH",15,1504208,"Urbana",15,"N E I AUGUSTO BASTOS MORBACH (15127176)"
15127192,"EMEF MARTINHO MOTTA DA SILVEIRA",15,1504208,"Urbana",21,"EMEF MARTINHO MOTTA DA SILVEIRA (15127192)"
15127206,"E M E F ODILIO DA ROCHA MAIA",15,1504208,"Urbana",14,"E M E F ODILIO DA ROCHA MAIA (15127206)"
15127214,"E M E F PEDRO MARINHO OLIVEIRA",15,1504208,"Rural",22,"E M E F PEDRO MARINHO OLIVEIRA (15127214)"
15127222,"E M E F RUFINA NASCIMENTO E SILVA",15,1504208,"Urbana",13,"E M E F RUFINA NASCIMENTO E SILVA (15127222)"
15127257,"EMEF DR INACIO DE SOUSA MOITA",15,1504208,"Urbana",21,"EMEF DR INACIO DE SOUSA MOITA (15127257)"
15127273,"E M E F NRA DE FATIMA",15,1504208,"Urbana",13,"E M E F NRA DE FATIMA (15127273)"
15127346,"EMEF FE EM DEUS",15,1504208,"Urbana",15,"EMEF FE EM DEUS (15127346)"
15127427,"E M E F FRANCISCA DE OLIVEIRA LIMA",15,1504208,"Urbana",11,"E M E F FRANCISCA DE OLIVEIRA LIMA (15127427)"
15127486,"E M E F SAO JOSE",15,1504208,"Rural",18,"E M E F SAO JOSE (15127486)"
15127508,"EMEF HELOISA DE SOUZA CASTRO",15,1504208,"Urbana",26,"EMEF HELOISA DE SOUZA CASTRO (15127508)"
15127559,"EMEF DUQUE DE CAXIAS",15,1504208,"Urbana",12,"EMEF DUQUE DE CAXIAS (15127559)"
15127591,"EMEF NAGIB MUTRAN",15,1504208,"Rural",14,"EMEF NAGIB MUTRAN (15127591)"
15127672,"E M E F PROFª IDA VALMONT",15,1504208,"Urbana",19,"E M E F PROFª IDA VALMONT (15127672)"
15127680,"EMEF PROFª JUDITH GOMES LEITAO",15,1504208,"Urbana",29,"EMEF PROFª JUDITH GOMES LEITAO (15127680)"
15127761,"EMEF SAO FELIX",15,1504208,"Urbana",19,"EMEF SAO FELIX (15127761)"
15127788,"EMEF DEUZUITA MELO DE ALBUQUERQUE",15,1504208,"Urbana",21,"EMEF DEUZUITA MELO DE ALBUQUERQUE (15127788)"
15127800,"E M E F FAIXA LINDA",15,1504208,"Rural",21,"E M E F FAIXA LINDA (15127800)"
15127818,"E M E F GROTA DA CUTIA",15,1504208,"Rural",2,"E M E F GROTA DA CUTIA (15127818)"
15127958,"E M E F TANCREDO NEVES II",15,1504208,"Rural",10,"E M E F TANCREDO NEVES II (15127958)"
15127974,"E M E F JOAO ANASTACIO DE QUEIROZ",15,1504208,"Urbana",23,"E M E F JOAO ANASTACIO DE QUEIROZ (15127974)"
15127990,"E M E F LUZIA NUNES FERNANDES",15,1504208,"Urbana",16,"E M E F LUZIA NUNES FERNANDES (15127990)"
15128016,"EMEF PROFº JONATHAS PONTES ATHIAS",15,1504208,"Urbana",23,"EMEF PROFº JONATHAS PONTES ATHIAS (15128016)"
15128040,"E M E F 25 DE DEZEMBRO",15,1504208,"Rural",9,"E M E F 25 DE DEZEMBRO (15128040)"
